# BEAST v1.7.4, r5154
# Generated Mon Apr 27 17:52:14 BST 2015 [seed=1430153533173]
state	age(CHICKEN_HEBEI_326_2005)	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.Flu.treeLikelihood	CP2.Flu.treeLikelihood	CP3.Flu.treeLikelihood	skyline
2280000	0.16246119101437562	-4670.512813994359	-308.5761258621682	-4361.936688132191	11.957721719084374	31.216874110882124	64.52150066043913	13.069779335652623	4.547451871948851	5.128814865244075	1.0	3.0	1.0	13.0	2.0	7.308487666043467	0.610550719014935	0.5432371866780776	1.8462120943069762	0.0031743150066109982	-1234.6482957034452	-1194.4040025829906	-1932.8843898457549	-57.449570660334444
2281000	0.4496959579173914	-4675.69389349848	-304.9793679991644	-4370.714525499316	10.805534557623284	50.7985429860791	33.64571294053951	19.336566947219364	6.655652715925343	0.7709429654894236	2.0	2.0	1.0	9.0	6.0	8.502624097526164	0.5359923638992852	0.6198486171384872	1.8441590189622163	0.0034385055590434544	-1234.9486712793816	-1194.7319824535655	-1941.0338717663683	-54.654317896141784
2282000	0.06631018107513349	-4665.478357143978	-302.09004469888646	-4363.388312445092	10.644039744983655	24.74421537133643	18.283598937787495	11.75124981939992	6.207430295822681	1.4597189380461264	2.0	1.0	4.0	5.0	8.0	8.502624097526164	0.6002504534531983	0.6341854630583693	1.765564083488421	0.0033479797299610825	-1231.6874823249414	-1191.705219859213	-1939.9956102609378	-53.933248784358845
2283000	0.013215310552735178	-4666.900776293291	-302.9152130407491	-4363.985563252541	10.826267124541921	36.39391027705839	22.029924821920822	5.81023382555193	6.046516982453702	2.3154721936264693	1.0	2.0	1.0	7.0	9.0	8.272400274898118	0.5749587960428811	0.5376475641861426	1.887393639770965	0.003194285882275922	-1234.576627591501	-1187.7957880005767	-1941.6131476604642	-54.41079951570392
2284000	0.013215310552735178	-4669.18801776908	-305.79783472141776	-4363.3901830476625	10.050572246540721	246.3310786673509	27.087639106897118	15.280814610058867	6.637003557024739	1.0326242448974468	1.0	3.0	6.0	4.0	6.0	8.660227974557959	0.6557192693967626	0.5494990612457988	1.794781669357427	0.0032758604271496687	-1231.5344899247268	-1189.216844583929	-1942.6388485390066	-53.18488423593303
2285000	0.5298676847279375	-4667.274624111664	-302.13480093141806	-4365.139823180246	10.390540701023719	245.82566059814963	11.037234672306731	3.633141673640486	5.814160619259889	1.0720928201341378	1.0	2.0	9.0	4.0	4.0	7.489087275080558	0.7053015857357287	0.4440786225099029	1.850619791754357	0.0035010919012143427	-1234.8240516487117	-1192.5166981375037	-1937.7990733940303	-51.24315531670187
2286000	0.5298676847279375	-4664.662650064711	-297.29141412041645	-4367.371235944294	9.891910287081528	51.32017517380294	23.850324965505184	3.5975364630009454	0.7027780859534343	0.333813999225186	4.0	1.0	8.0	5.0	2.0	8.578722841792917	0.6807765416690335	0.599550239378775	1.71967321895218	0.004048882967437446	-1237.8025226248185	-1193.4951453208594	-1936.0735679986167	-51.62220307913265
2287000	0.10530463529523482	-4660.567657233012	-294.9980074988928	-4365.56964973412	10.122646863491095	51.056585131995945	50.56160340570045	2.7697863074790483	3.3669209289623816	1.387347207141822	2.0	2.0	5.0	4.0	7.0	7.424783349605714	0.6536446941244173	0.47662552851589546	1.8697297773596757	0.003947916542524753	-1236.003095975033	-1195.2295506646956	-1934.3370030943915	-46.04011777616249
2288000	0.10530463529523482	-4670.516413878165	-298.51308169250956	-4372.003332185655	10.783930733527146	93.40942852006768	19.72109944044584	4.529250757537354	2.9869848011120905	1.7226463226586552	1.0	3.0	1.0	3.0	12.0	9.145093725479386	0.6493489410458002	0.5430362072570277	1.8076148516971604	0.003572822363476272	-1239.9074977228372	-1197.8496102679148	-1934.2462241949036	-49.703864525876
2289000	0.10530463529523482	-4667.364300933228	-300.2094758542984	-4367.15482507893	9.952061492017943	35.77524476140584	43.746429079058885	5.133243231001602	3.2614921523134455	1.352881636662303	5.0	1.0	3.0	1.0	10.0	7.677812309793122	0.7708854454272934	0.5722598099596563	1.6568547446130388	0.003983250053185752	-1234.467418141258	-1191.604397008705	-1941.083009928967	-51.771462132559925
